,icao24,Çağrı İşareti,Kaynak Ülke,Zaman Pozisyonu,Son Temas,Long,Lat,Baro İrtifası,Yerde,Hız,Gerçek İz,Dikey Hız,Sensörler,Geo Yükseklik,Squawk,Spi,Konum Kaynağı
4069,789216,CPA811  ,China,1714025412,1714025412,-70.0382,43.6555,7322.82,false,246.4,26.4,4.88,Veri Yok,7208.52,Veri Yok,false,0
4070,48c12f,RYR9566 ,Poland,1714025412,1714025412,-0.7587,53.6118,11277.6,false,214.22,282.2,0.0,Veri Yok,11041.38,3554,false,0
4071,48c12e,RYR1909 ,Poland,1714025412,1714025412,-6.0018,53.4061,1028.7,false,93.95,274.71,-5.53,Veri Yok,1021.08,5265,false,0
4072,48c12c,RYR55NR ,Poland,1714025412,1714025412,7.915,44.4202,11277.6,false,219.17,238.44,0.0,Veri Yok,11125.2,0514,false,0
4073,a6609b,AMF7150 ,United States,1714025402,1714025402,-72.2722,42.0573,1699.26,false,96.26,238.77,-0.33,Veri Yok,1691.64,Veri Yok,false,0
4074,48c137,RYR4SF  ,Poland,1714025411,1714025412,7.3815,51.6898,6096.0,false,167.54,266.3,0.0,Veri Yok,5890.26,1000,false,0
4075,789219,CPA806  ,China,1714025149,1714025149,122.9497,25.8672,10058.4,false,282.18,49.81,0.0,Veri Yok,10607.04,Veri Yok,false,0
4076,48c138,RYR55UG ,Poland,1714025411,1714025412,6.9834,51.8346,11582.4,false,220.92,274.68,0.0,Veri Yok,11308.08,7215,false,0
4077,789217,CPA829  ,China,1714025411,1714025412,-77.5077,46.8587,10058.4,false,250.81,25.51,0.0,Veri Yok,9822.18,0556,false,0
4078,48c134,RYR5LN  ,Poland,1714025412,1714025412,-2.3768,55.2456,6118.86,false,145.69,317.86,-3.25,Veri Yok,5951.22,7546,false,0
4079,48c131,RYR2MD  ,Poland,1714025411,1714025412,10.9537,49.7814,11582.4,false,223.4,296.98,0.33,Veri Yok,11323.32,3541,false,0
4080,acf48c,AVA245  ,United States,1714025411,1714025411,-78.4042,27.7795,10972.8,false,227.94,192.25,0.0,Veri Yok,11407.14,Veri Yok,false,0
4081,acf48f,ASA340  ,United States,1714025411,1714025412,-115.6862,45.8128,11277.6,false,115.94,300.09,7.15,Veri Yok,11285.22,Veri Yok,false,0
4082,800d09,IGO1153 ,India,1714025411,1714025411,77.7763,28.0061,6812.28,false,235.82,116.29,6.83,Veri Yok,7094.22,Veri Yok,false,0
4083,0c20de,CMP302  ,Panama,1714025412,1714025412,-118.3051,33.9453,388.62,false,75.05,263.7,-3.9,Veri Yok,403.86,7202,false,0
4084,86e844,ANA232  ,Japan,1714025410,1714025411,137.8598,36.7586,10668.0,false,288.99,80.47,-0.65,Veri Yok,10927.08,3613,false,0
4085,1061be,044     ,Russian Federation,1714025281,1714025281,132.1706,43.4006,Veri Yok,true,9.77,323.44,Veri Yok,Veri Yok,Veri Yok,Veri Yok,false,0
4086,48c129,RYR52GK ,Poland,1714025411,1714025411,12.2423,43.2794,11277.6,false,218.55,210.25,0.0,Veri Yok,11132.82,1000,false,0
4087,48c126,RYR5YA  ,Poland,1714025411,1714025411,29.2679,37.8665,11277.6,false,209.92,145.18,0.0,Veri Yok,11536.68,5437,false,0
4088,48c127,RYR63GY ,Poland,1714025412,1714025412,-1.6389,55.1261,9395.46,false,194.4,291.75,-9.75,Veri Yok,9159.24,3542,false,0
4089,48c125,RYR20SB ,Poland,1714025411,1714025412,19.2308,40.714,10668.0,false,240.71,56.68,0.0,Veri Yok,10584.18,4305,false,0
4090,48c122,RYR3DX  ,Poland,1714025412,1714025412,1.5966,51.7926,10972.8,false,213.99,258.77,0.0,Veri Yok,10728.96,7544,false,0
4091,48c123,RYR5GZ  ,Poland,1714025412,1714025412,14.909,46.2626,11071.86,false,237.45,117.34,3.9,Veri Yok,10843.26,6410,false,0
4092,0c20f3,CMP367  ,Panama,1714025408,1714025408,-78.3563,-8.594,10058.4,false,244.07,163.97,0.0,Veri Yok,Veri Yok,Veri Yok,false,0
4093,7c7c77,VOZ1282 ,Australia,1714025412,1714025412,149.8951,-28.9588,11277.6,false,224.22,165.52,0.0,Veri Yok,11833.86,Veri Yok,false,0
4094,789234,CPA843  ,China,1714025412,1714025412,-73.854,40.5963,868.68,false,124.14,123.16,5.85,Veri Yok,891.54,2660,false,0
4095,801441,VTI611  ,India,1714025325,1714025325,75.5983,32.3504,10370.82,false,227.21,351.67,0.33,Veri Yok,10675.62,Veri Yok,false,0
